epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
3,746.866,2.11928,1.46391,1.23578,0.77652,0.64703,0.67389,0.24213,2.13169,1.53481,1.29082,0.00802907,0.00801921,0.00801921
1,252.262,2.28124,1.6478,1.32576,0.87813,0.29409,0.5541,0.17774,2.44532,1.60854,1.48446,0.0700089,0.00333235,0.00333235
2,491.025,2.16999,1.51794,1.26199,0.72077,0.52797,0.59096,0.19452,2.4246,1.57926,1.46015,0.039349,0.00600578,0.00600578
3,725.709,2.11928,1.46391,1.23578,0.77652,0.64703,0.67389,0.24213,2.13169,1.53481,1.29082,0.00802907,0.00801921,0.00801921
4,958.31,2.07222,1.41158,1.2113,0.7633,0.68405,0.66745,0.24072,2.12067,1.51651,1.29196,0.00703,0.00703,0.00703
5,1191.11,2.03258,1.36523,1.19608,0.77967,0.72134,0.70033,0.25248,2.14613,1.47418,1.29985,0.00604,0.00604,0.00604
6,1424.12,1.99341,1.31894,1.17806,0.76886,0.71518,0.69888,0.25232,2.15462,1.47935,1.31145,0.00505,0.00505,0.00505
7,1655.75,1.94992,1.27608,1.16187,0.77093,0.71844,0.69874,0.2518,2.17183,1.46602,1.31287,0.00406,0.00406,0.00406
8,1890.13,1.91304,1.22693,1.14762,0.76054,0.7281,0.69832,0.24961,2.19819,1.46054,1.33449,0.00307,0.00307,0.00307
9,2123.72,1.87421,1.18089,1.13246,0.75568,0.72303,0.69009,0.24541,2.22368,1.45727,1.35176,0.00208,0.00208,0.00208
10,2358.48,1.83993,1.1422,1.1209,0.75072,0.72451,0.68625,0.24304,2.24951,1.44761,1.36641,0.00109,0.00109,0.00109
1,262.644,2.28124,1.6478,1.32576,0.87813,0.29409,0.5541,0.17774,2.44532,1.60854,1.48446,0.0700089,0.00333235,0.00333235
2,516.743,2.16999,1.51794,1.26199,0.72077,0.52797,0.59096,0.19452,2.4246,1.57926,1.46015,0.039349,0.00600578,0.00600578
3,767.063,2.11928,1.46391,1.23578,0.77652,0.64703,0.67389,0.24213,2.13169,1.53481,1.29082,0.00802907,0.00801921,0.00801921
4,1012.43,2.07222,1.41158,1.2113,0.7633,0.68405,0.66745,0.24072,2.12067,1.51651,1.29196,0.00703,0.00703,0.00703
5,1259.52,2.03258,1.36523,1.19608,0.77967,0.72134,0.70033,0.25248,2.14613,1.47418,1.29985,0.00604,0.00604,0.00604
6,1506.63,1.99341,1.31894,1.17806,0.76886,0.71518,0.69888,0.25232,2.15462,1.47935,1.31145,0.00505,0.00505,0.00505
7,1752.69,1.94992,1.27608,1.16187,0.77093,0.71844,0.69874,0.2518,2.17183,1.46602,1.31287,0.00406,0.00406,0.00406
8,1996.99,1.91304,1.22693,1.14762,0.76054,0.7281,0.69832,0.24961,2.19819,1.46054,1.33449,0.00307,0.00307,0.00307
9,2245.14,1.87421,1.18089,1.13246,0.75568,0.72303,0.69009,0.24541,2.22368,1.45727,1.35176,0.00208,0.00208,0.00208
10,2493.12,1.83993,1.1422,1.1209,0.75072,0.72451,0.68625,0.24304,2.24951,1.44761,1.36641,0.00109,0.00109,0.00109
1,257.631,2.28124,1.6478,1.32576,0.87813,0.29409,0.5541,0.17774,2.44532,1.60854,1.48446,0.0700089,0.00333235,0.00333235
2,507.773,2.16999,1.51794,1.26199,0.72077,0.52797,0.59096,0.19452,2.4246,1.57926,1.46015,0.039349,0.00600578,0.00600578
3,746.897,2.11928,1.46391,1.23578,0.77652,0.64703,0.67389,0.24213,2.13169,1.53481,1.29082,0.00802907,0.00801921,0.00801921
1,259.472,2.28124,1.6478,1.32576,0.87813,0.29409,0.5541,0.17774,2.44532,1.60854,1.48446,0.0700089,0.00333235,0.00333235
2,511.01,2.16999,1.51794,1.26199,0.72077,0.52797,0.59096,0.19452,2.4246,1.57926,1.46015,0.039349,0.00600578,0.00600578
3,755.116,2.11928,1.46391,1.23578,0.77652,0.64703,0.67389,0.24213,2.13169,1.53481,1.29082,0.00802907,0.00801921,0.00801921
4,998.361,2.07222,1.41158,1.2113,0.7633,0.68405,0.66745,0.24072,2.12067,1.51651,1.29196,0.00703,0.00703,0.00703
5,1240.82,2.03258,1.36523,1.19608,0.77967,0.72134,0.70033,0.25248,2.14613,1.47418,1.29985,0.00604,0.00604,0.00604
6,1485.19,1.99341,1.31894,1.17806,0.76886,0.71518,0.69888,0.25232,2.15462,1.47935,1.31145,0.00505,0.00505,0.00505
7,1735.26,1.94992,1.27608,1.16187,0.77093,0.71844,0.69874,0.2518,2.17183,1.46602,1.31287,0.00406,0.00406,0.00406
8,1978.6,1.91304,1.22693,1.14762,0.76054,0.7281,0.69832,0.24961,2.19819,1.46054,1.33449,0.00307,0.00307,0.00307
9,2220.99,1.87421,1.18089,1.13246,0.75568,0.72303,0.69009,0.24541,2.22368,1.45727,1.35176,0.00208,0.00208,0.00208
10,2464.11,1.83993,1.1422,1.1209,0.75072,0.72451,0.68625,0.24304,2.24951,1.44761,1.36641,0.00109,0.00109,0.00109
1,259.937,2.28124,1.6478,1.32576,0.87813,0.29409,0.5541,0.17774,2.44532,1.60854,1.48446,0.0700089,0.00333235,0.00333235
2,509.744,2.16999,1.51794,1.26199,0.72077,0.52797,0.59096,0.19452,2.4246,1.57926,1.46015,0.039349,0.00600578,0.00600578
3,753.89,2.11928,1.46391,1.23578,0.77652,0.64703,0.67389,0.24213,2.13169,1.53481,1.29082,0.00802907,0.00801921,0.00801921
4,996.639,2.07222,1.41158,1.2113,0.7633,0.68405,0.66745,0.24072,2.12067,1.51651,1.29196,0.00703,0.00703,0.00703
5,1240.13,2.03258,1.36523,1.19608,0.77967,0.72134,0.70033,0.25248,2.14613,1.47418,1.29985,0.00604,0.00604,0.00604
6,1481.69,1.99341,1.31894,1.17806,0.76886,0.71518,0.69888,0.25232,2.15462,1.47935,1.31145,0.00505,0.00505,0.00505
7,1724.99,1.94992,1.27608,1.16187,0.77093,0.71844,0.69874,0.2518,2.17183,1.46602,1.31287,0.00406,0.00406,0.00406
1,257.068,2.28124,1.6478,1.32576,0.87813,0.29409,0.5541,0.17774,2.44532,1.60854,1.48446,0.0700089,0.00333235,0.00333235
2,506.002,2.16999,1.51794,1.26199,0.72077,0.52797,0.59096,0.19452,2.4246,1.57926,1.46015,0.039349,0.00600578,0.00600578
3,761.402,2.11928,1.46391,1.23578,0.77652,0.64703,0.67389,0.24213,2.13169,1.53481,1.29082,0.00802907,0.00801921,0.00801921
4,1068.11,2.07222,1.41158,1.2113,0.7633,0.68405,0.66745,0.24072,2.12067,1.51651,1.29196,0.00703,0.00703,0.00703
5,1502.48,2.03258,1.36523,1.19608,0.77967,0.72134,0.70033,0.25248,2.14613,1.47418,1.29985,0.00604,0.00604,0.00604
6,1815.42,1.99341,1.31894,1.17806,0.76886,0.71518,0.69888,0.25232,2.15462,1.47935,1.31145,0.00505,0.00505,0.00505
7,2052.85,1.94992,1.27608,1.16187,0.77093,0.71844,0.69874,0.2518,2.17183,1.46602,1.31287,0.00406,0.00406,0.00406
8,2293.4,1.91304,1.22693,1.14762,0.76054,0.7281,0.69832,0.24961,2.19819,1.46054,1.33449,0.00307,0.00307,0.00307
9,2533.95,1.87421,1.18089,1.13246,0.75568,0.72303,0.69009,0.24541,2.22368,1.45727,1.35176,0.00208,0.00208,0.00208
10,2775.49,1.83993,1.1422,1.1209,0.75072,0.72451,0.68625,0.24304,2.24951,1.44761,1.36641,0.00109,0.00109,0.00109
